geo_level,geo_code,geo_version,name,value
country,KE,,Kenya,0.3
county,1,,Mombasa,1.3
county,2,,Kwale,0.1
county,3,,Kilifi,0.3
county,4,,Tana River,0.8
county,5,,Lamu,0
county,6,,Taita / Taveta,0.1
county,7,,Garissa,0
county,8,,Wajir,5
county,9,,Mandera,0.3
county,10,,Marsabit,1.5
county,11,,Isiolo,0.6
county,12,,Meru,0.8
county,13,,Tharaka-Nithi,0.4
county,14,,Embu,0.1
county,15,,Kitui,3
county,16,,Machakos,1.1
county,17,,Makueni,0
county,18,,Nyandarua,0
county,19,,Nyeri,0.5
county,20,,Kirinyaga,0.3
county,21,,Murang'a,0
county,22,,Kiambu,0
county,23,,Turkana,0
county,24,,West Pokot,0.6
county,25,,Samburu,0.4
county,26,,Trans Nzoia,0.2
county,27,,Uasin Gishu,0.5
county,28,,Elgeyo / Marakwet,0.3
county,29,,Nandi,0
county,30,,Baringo,0.3
county,31,,Laikipia,0
county,32,,Nakuru,0.2
county,33,,Narok,0
county,34,,Kajiado,0
county,35,,Kericho,0.3
county,36,,Bomet,0.6
county,37,,Kakamega,0.1
county,38,,Vihiga,0
county,39,,Bungoma,0.5
county,40,,Busia,0.4
county,41,,Siaya,0.6
county,42,,Kisumu,0
county,43,,Homa Bay,0.1
county,44,,Migori,0.2
county,45,,Kisii,0
county,46,,Nyamira,0.5
county,47,,Nairobi City,0